Surname Forename,Edexcel En P1 Sec A - S3 Y11 Mock 2,Edexcel En P1 Sec A - S6 Y11 Mock 2,Edexcel En P1 Sec A - R Y11 Mock 2,Edexcel En P1 Sec A - Mk,Edexcel Gd En P1 Sec A Y11 Mock 2,Edexcel En P1 Sec B AO5.1 Y11 Mock 2,Edexcel En P1 Sec B AO6.1 Y11 Mock 2,Edexcel En P1 Sec B Q1,Edexcel En P1 Sec B AO5.2 Y11 Mock 2,Edexcel En P1 Sec B AO6.2 Y11 Mock 2,Edexcel En P1 Sec B Q2,Edexcel En P1 Sec B Mk,Edexcel En P1 Sec B,Attain KS4 En - GCSE P1 Y11 Mock 2,Edexcel En P2 Sec A - S Y11 Mock 2,Edexcel En P2 Sec A - R1 Y11 Mock 2,Edexcel En P2 Sec A - R2 Y11 Mock 2,Edexcel En P2 Sec A - C6 Y11 Mock 2,Edexcel En P2 Sec A - C14 Y11 Mock 2,Edexcel En P2 Sec A - Mk,Edexcel Gd En P2 Sec A Y11 Mock 2,Edexcel En P2 Sec B AO5.1 Y11 Mock 2,Edexcel En P2 Sec B AO6.1 Y11 Mock 2,Edexcel En P2 Sec B Q1,Edexcel En P2 Sec B AO5.2 Y11 Mock 2,Edexcel En P2 Sec B AO6.2 Y11 Mock 2,Edexcel En P2 Sec B Q2,Edexcel En P2 Sec B Mk,Attain KS4 En - GCSE P2 Y11 Mock 2,Edexcel En Tot mark,Attainment KS4 En - New G Y11 Mock 2,Apply6thFrm
Pupil 1,3,3,8,,3,11,7,,,,,,,4+,4,7,3,4,4,,2,17,11,,,,,,5-,,4-,y
Pupil 2,3,0,0,,1,9,4,,,,,,,2,3,0,2,0,0,,1,8,5,,,,,,2,,1+,n
Pupil 3,3,4,10,,4,14,9,,,,,,,6-,5,4,7,4,7,,3,13,8,,,,,,4,,4,y
Pupil 4,3,2,3,,2,3,5,,,,,,,2+,3,5,6,0,0,,2,13,8,,,,,,3,,2+,n
Pupil 5,3,3,5,,3,12,9,,,,,,,4,6,6,7,2,6,,3,15,9,,,,,,5-,,4-,n
Pupil 6,3,4,8,,4,12,8,,,,,,,5,6,7,7,3,4,,3,13,8,,,,,,4,,4-,n
Pupil 7,2,6,13,,5,17,10,,,,,,,8-,6,9,9,5,9,,4,12,8,,,,,,5,,6-,y
Pupil 8,2,2,6,,3,7,4,,,,,,,3-,5,4,4,2,3,,2,12,5,,,,,,3,,2+,n
Pupil 9,3,4,15,,5,21,14,,,,,,,9-,6,10,11,6,13,,5,17,12,,,,,,8-,,8,y
Pupil 10,3,6,14,,5,18,12,,,,,,,9-,5,8,8,6,9,,4,12,10,,,,,,5+,,6,y
Pupil 11,3,6,13,,5,15,11,,,,,,,8-,5,11,4,5,5,,3,18,12,,,,,,6-,,6-,y
Pupil 12,2,6,14,,5,14,10,,,,,,,7+,6,10,11,5,13,,4,12,8,,,,,,6,,6,y
Pupil 13,3,4,8,,4,14,8,,,,,,,5,6,8,5,4,4,,3,17,10,,,,,,5,,4+,y
Pupil 14,3,6,13,,5,14,9,,,,,,,7+,6,8,7,5,11,,4,14,9,,,,,,5+,,5+,y
Pupil 15,3,1,6,,3,13,7,,,,,,,3+,3,4,3,2,0,,1,11,7,,,,,,3-,,3-,n
Pupil 16,3,4,13,,5,22,13,,,,,,,9-,4,7,10,5,13,,4,19,13,,,,,,7+,,7+,y
Pupil 17,3,6,11,,5,19,12,,,,,,,8,4,9,9,4,6,,3,18,12,,,,,,6,,6,n
Pupil 18,3,4,9,,4,15,11,,,,,,,6,5,8,7,3,8,,3,15,10,,,,,,5,,5,y
